date_releve,marque,nb_total,nb_electrique,proportion_electrique
2026-07-10T14:58:09,Alfa Romeo,29,4,0.1379
2026-07-10T14:58:09,Alpine,1,1,1.0
2026-07-10T14:58:09,Audi,68,4,0.0588
2026-07-10T14:58:09,BMW,60,5,0.0833
2026-07-10T14:58:09,BYD,18,6,0.3333
2026-07-10T14:58:09,Citroën,281,38,0.1352
2026-07-10T14:58:09,Cupra,26,0,0.0
2026-07-10T14:58:09,DS,70,2,0.0286
2026-07-10T14:58:09,Dacia,171,17,0.0994
2026-07-10T14:58:09,Fiat,89,36,0.4045
2026-07-10T14:58:09,Ford,91,1,0.011
2026-07-10T14:58:09,Honda,6,0,0.0
2026-07-10T14:58:09,Hyundai,67,4,0.0597
2026-07-10T14:58:09,Infiniti,1,0,0.0
2026-07-10T14:58:09,Jaecoo,4,0,0.0
2026-07-10T14:58:09,Jaguar,1,1,1.0
2026-07-10T14:58:09,Jeep,57,11,0.193
2026-07-10T14:58:09,Kia,47,4,0.0851
2026-07-10T14:58:09,Lancia,2,1,0.5
2026-07-10T14:58:09,Lexus,2,0,0.0
2026-07-10T14:58:09,Lynk&Co,4,0,0.0
2026-07-10T14:58:09,MG,75,19,0.2533
2026-07-10T14:58:09,Mazda,13,3,0.2308
2026-07-10T14:58:09,Mercedes,40,0,0.0
2026-07-10T14:58:09,Mini,31,4,0.129
2026-07-10T14:58:09,Mitsubishi,1,0,0.0
2026-07-10T14:58:09,Nissan,56,1,0.0179
2026-07-10T14:58:09,Opel,135,33,0.2444
2026-07-10T14:58:09,Peugeot,723,78,0.1079
2026-07-10T14:58:09,Renault,478,99,0.2071
2026-07-10T14:58:09,Seat,31,0,0.0
2026-07-10T14:58:09,Skoda,29,2,0.069
2026-07-10T14:58:09,Smart,8,7,0.875
2026-07-10T14:58:09,Suzuki,9,0,0.0
2026-07-10T14:58:09,Tesla,20,20,1.0
2026-07-10T14:58:09,Toyota,91,0,0.0
2026-07-10T14:58:09,Volkswagen,173,6,0.0347
2026-07-10T14:58:09,Volvo,22,2,0.0909
2026-07-10T14:58:09,XPENG,1,1,1.0
2026-07-11T07:43:48,Alfa Romeo,29,4,0.1379
2026-07-11T07:43:48,Alpine,1,1,1.0
2026-07-11T07:43:48,Audi,69,4,0.058
2026-07-11T07:43:48,BMW,63,5,0.0794
2026-07-11T07:43:48,BYD,18,6,0.3333
2026-07-11T07:43:48,Citroën,284,36,0.1268
2026-07-11T07:43:48,Cupra,26,0,0.0
2026-07-11T07:43:48,DS,73,2,0.0274
2026-07-11T07:43:48,Dacia,175,17,0.0971
2026-07-11T07:43:48,Fiat,85,36,0.4235
2026-07-11T07:43:48,Ford,92,1,0.0109
2026-07-11T07:43:48,Honda,6,0,0.0
2026-07-11T07:43:48,Hyundai,66,4,0.0606
2026-07-11T07:43:48,Infiniti,1,0,0.0
2026-07-11T07:43:48,Jaecoo,4,0,0.0
2026-07-11T07:43:48,Jaguar,1,1,1.0
2026-07-11T07:43:48,Jeep,58,11,0.1897
2026-07-11T07:43:48,Kia,50,4,0.08
2026-07-11T07:43:48,Lancia,2,1,0.5
2026-07-11T07:43:48,Lexus,2,0,0.0
2026-07-11T07:43:48,Lynk&Co,3,0,0.0
2026-07-11T07:43:48,MG,75,19,0.2533
2026-07-11T07:43:48,Mazda,13,3,0.2308
