date_releve,marque,modele,nb_total,nb_electrique,proportion_electrique
2026-07-10T15:11:58,Alfa Romeo,Giulia,1,0,0.0
2026-07-10T15:11:58,Alfa Romeo,Junior,12,4,0.3333
2026-07-10T15:11:58,Alfa Romeo,Stelvio,1,0,0.0
2026-07-10T15:11:58,Alfa Romeo,Tonale,15,0,0.0
2026-07-10T15:11:58,Alpine,A290,1,1,1.0
2026-07-10T15:11:58,Audi,A1 Allstreet,1,0,0.0
2026-07-10T15:11:58,Audi,A1 Citycarver,1,0,0.0
2026-07-10T15:11:58,Audi,A1 Sportback,8,0,0.0
2026-07-10T15:11:58,Audi,A3 Berline,2,0,0.0
2026-07-10T15:11:58,Audi,A3 Sportback,21,0,0.0
2026-07-10T15:11:58,Audi,A4 Avant,3,0,0.0
2026-07-10T15:11:58,Audi,A5 Sportback,1,0,0.0
2026-07-10T15:11:58,Audi,A6 Avant,2,0,0.0
2026-07-10T15:11:58,Audi,E-TRON,3,3,1.0
2026-07-10T15:11:58,Audi,Q2,18,0,0.0
2026-07-10T15:11:58,Audi,Q3,2,0,0.0
2026-07-10T15:11:58,Audi,Q3 Sportback,2,0,0.0
2026-07-10T15:11:58,Audi,Q4 E-TRON,1,1,1.0
2026-07-10T15:11:58,Audi,Q5,2,0,0.0
2026-07-10T15:11:58,Audi,Q5 Sportback,1,0,0.0
2026-07-10T15:11:58,BMW,I3,1,1,1.0
2026-07-10T15:11:58,BMW,Série 1,19,0,0.0
2026-07-10T15:11:58,BMW,Série 2 Active Tourer,3,0,0.0
2026-07-10T15:11:58,BMW,Série 3 Touring,3,0,0.0
2026-07-10T15:11:58,BMW,Série 5 Touring,2,0,0.0
2026-07-10T15:11:58,BMW,X1,17,0,0.0
2026-07-10T15:11:58,BMW,X2,8,0,0.0
2026-07-10T15:11:58,BMW,X3,2,0,0.0
2026-07-10T15:11:58,BMW,Z4 ROADSTER,1,0,0.0
2026-07-10T15:11:58,BMW,i4,2,2,1.0
2026-07-10T15:11:58,BMW,iX1,2,2,1.0
2026-07-10T15:11:58,BYD,Atto 2,2,2,1.0
2026-07-10T15:11:58,BYD,DOLPHIN SURF,2,2,1.0
2026-07-10T15:11:58,BYD,Dolfin Surf,1,1,1.0
2026-07-10T15:11:58,BYD,Dolphin,1,1,1.0
2026-07-10T15:11:58,BYD,SEAL 6 TOURING,4,0,0.0
2026-07-10T15:11:58,BYD,Seal 6,3,0,0.0
2026-07-10T15:11:58,BYD,Seal 6 Touring,0,0,0.0
2026-07-10T15:11:58,BYD,Seal U,5,0,0.0
2026-07-10T15:11:58,Citroën,AMI,5,5,1.0
2026-07-10T15:11:58,Citroën,BERLINGO FOURGON ELECTRIC,1,1,1.0
2026-07-10T15:11:58,Citroën,Berlingo,9,4,0.4444
2026-07-10T15:11:58,Citroën,Berlingo Fourgon,1,0,0.0
2026-07-10T15:11:58,Citroën,Berlingo Van,1,0,0.0
2026-07-10T15:11:58,Citroën,C-Elysee,1,0,0.0
2026-07-10T15:11:58,Citroën,C-ZERO,1,1,1.0
2026-07-10T15:11:58,Citroën,C1,2,0,0.0
2026-07-10T15:11:58,Citroën,C3,53,8,0.1509
2026-07-10T15:11:58,Citroën,C3 Aircross,40,6,0.15
2026-07-10T15:11:58,Citroën,C4,60,12,0.2
2026-07-10T15:11:58,Citroën,C4 CACTUS BUSINESS,1,0,0.0
2026-07-10T15:11:58,Citroën,C4 Cactus,13,0,0.0
2026-07-10T15:11:58,Citroën,C4 Picasso,2,0,0.0
2026-07-10T15:11:58,Citroën,C4 X,4,1,0.25
2026-07-10T15:11:58,Citroën,C5 Aircross,69,0,0.0
2026-07-10T15:11:58,Citroën,C5 X,10,0,0.0
2026-07-10T15:11:58,Citroën,GRAND C4 SPACETOURER,3,0,0.0
2026-07-10T15:11:58,Citroën,Grand C4 Picasso,3,0,0.0
2026-07-10T15:11:58,Citroën,Grand C4 Spacetourer,0,0,0.0
2026-07-10T15:11:58,Citroën,JUMPY CABINE APPROFONDIE,1,0,0.0
2026-07-10T15:11:58,Citroën,Jumper Fourgon,1,0,0.0
2026-07-10T15:11:58,Cupra,Ateca,1,0,0.0
2026-07-10T15:11:58,Cupra,FORMENTOR,18,0,0.0
2026-07-10T15:11:58,Cupra,Leon,3,0,0.0
